K,C,X,Y,R,S,df,ConfigID,rewards
492,480,168,32,7,7,eye,767,139098241
92,486,104,136,3,3,eye,759,37222741.0
474,16,232,104,5,5,shi,761,86573889
108,48,216,56,5,5,shi,767,27493777
70,326,248,200,9,9,eye,753,162861777.0
454,354,40,256,5,5,eye,575,206501653
354,470,136,168,3,3,eye,761,256225201
204,220,80,48,9,9,eye,767,36390201
188,266,240,88,3,3,eye,764,53134033
90,130,72,168,1,1,eye,765,4324321
504,176,112,56,5,5,shi,767,239663425
422,120,136,160,5,5,dla,764,437456449
186,200,224,224,5,5,dla,761,906241601
332,46,40,40,9,9,eye,567,4963401
262,80,136,104,7,7,shi,757,267428641
80,120,256,72,1,1,eye,765,3041281.0
252,210,128,256,5,5,shi,767,656649001
4,100,112,152,1,1,dla,762,170241
30,396,232,120,5,5,eye,753,28626049.0
154,330,56,176,3,3,shi,766,74345041.0
78,104,224,104,3,3,shi,761,32615649
350,162,64,240,5,5,shi,765,340472161
460,82,184,184,9,9,shi,765,1613435281
390,396,184,240,9,9,eye,765,976956553
290,430,248,88,7,7,eye,765,293892961
320,458,88,176,5,5,eye,765,257505921
504,198,256,144,9,9,eye,767,517853953
144,242,120,1,1,1,eye,767,75505
504,144,104,104,7,7,eye,767,99743617.0
266,222,168,112,3,3,eye,762,59929345
94,326,176,160,7,7,eye,757,100113949
90,234,224,80,3,3,shi,573,84467449
360,460,168,176,3,3,shi,731,744537601.0
176,512,96,8,1,1,shi,286,9437185
98,270,224,160,5,5,shi,762,437088961
244,34,104,232,7,7,shi,723,159465713.0
96,322,160,160,3,3,eye,767,44644657
14,146,48,184,3,3,shi,762,2552665
94,70,144,208,5,5,shi,757,92488481
222,140,112,176,7,7,eye,761,76405001.0
102,456,104,48,3,3,eye,761,13643521
420,466,168,56,7,7,shi,767,1554016801
170,276,32,192,7,7,shi,753,179384545.0
450,134,200,40,1,1,eye,766,10548481
212,430,16,216,1,1,eye,383,21733921
188,230,56,120,7,7,shi,759,212048961.0
86,304,32,160,9,9,shi,757,152589457
298,350,232,120,3,3,eye,767,152600001
506,170,136,208,7,7,shi,757,2195058361
470,206,152,120,1,1,shi,766,32313985
6,82,176,176,1,1,shi,766,303073
404,4,256,120,3,3,shi,764,7437241.0
200,404,248,224,7,7,shi,765,3833636801
508,30,160,176,1,1,shi,767,8049601
460,390,208,88,7,7,shi,573,3552442921
374,144,96,200,5,5,shi,766,495847297
492,156,48,24,1,1,dla,767,1842049
108,390,96,80,3,3,shi,575,71491681
372,346,88,24,1,1,shi,767,12270545
122,122,168,104,3,3,eye,759,14273269
314,240,104,64,3,3,dla,764,72599521
224,102,184,136,3,3,dla,763,99698145
410,220,56,128,7,7,eye,765,79718761
174,250,128,80,9,9,shi,761,845843001
488,470,144,72,5,5,eye,763,242032141
250,248,48,200,5,5,shi,765,273023201
278,220,192,240,3,3,eye,764,134217601
424,506,176,232,9,9,eye,763,1305366151
78,290,176,248,9,9,eye,761,148715191
480,504,192,160,9,9,eye,767,1000399681
246,102,160,144,7,7,shi,761,568308709
284,70,240,208,5,5,shi,759,470122241
12,54,24,96,1,1,shi,575,33697
140,72,112,208,5,5,dla,573,154840897
354,148,48,96,1,1,dla,635,5391361.0
220,18,128,16,5,5,dla,766,8213761
186,2,112,56,3,3,eye,766,122401
54,2,128,40,9,9,shi,764,1049929
494,188,192,64,9,9,dla,766,1240807681
470,18,136,88,9,9,shi,573,175451941
296,220,152,24,7,7,eye,763,28791181
266,266,144,192,1,1,dla,765,41057281
48,36,104,176,5,5,shi,767,12968641
428,512,56,112,3,3,shi,766,214216705.0
24,30,88,112,9,9,eye,767,1401121
436,464,224,24,9,9,eye,759,131497601
386,114,152,96,3,3,eye,764,38588545
224,80,24,192,1,1,eye,287,3793921
174,168,32,176,1,1,eye,382,5677057
226,16,120,168,9,9,eye,757,10609345
248,446,168,224,5,5,eye,763,366831433
82,154,168,176,7,7,eye,757,46881451
94,466,144,256,7,7,eye,565,234176185
316,338,40,168,9,9,eye,375,156206701
272,222,112,144,9,9,shi,571,1526296177
430,502,64,48,1,1,eye,767,11276929
18,472,88,144,9,9,eye,572,22051841
156,510,240,72,9,9,eye,767,206431681.0
142,356,40,168,9,9,shi,757,393395665
90,344,64,144,3,3,shi,765,52022089
204,266,208,168,7,7,eye,767,255691969
234,502,152,104,3,3,eye,764,109166929
90,502,256,224,7,7,eye,765,283947265
22,418,224,256,7,7,eye,694,65007361.0
214,258,216,88,9,9,eye,757,161992009
432,304,24,72,7,7,shi,767,231728257
38,44,72,112,7,7,eye,757,2648449
342,282,176,112,9,9,shi,764,2625227113
2,272,208,48,5,5,eye,760,499393
336,16,152,224,9,9,shi,767,250851329
144,40,104,256,7,7,eye,767,20355841
96,388,256,240,9,9,eye,743,314099969.0
414,442,208,96,5,5,eye,764,349222433
18,108,232,112,3,3,shi,764,8081425.0
348,430,72,40,3,3,shi,767,94572481
218,328,136,248,5,5,eye,766,266152321
486,100,56,56,9,9,dla,764,181647361
36,328,168,176,3,3,shi,767,53088769
316,126,208,144,1,1,eye,766,25256449.0
162,372,136,232,3,3,dla,764,272941921
458,142,208,112,5,5,shi,764,665409445
4,56,144,136,7,7,shi,567,4547425
326,152,208,192,3,3,shi,763,278589097
224,350,88,232,5,5,eye,763,181221601
314,264,120,160,3,3,dla,764,267541401
106,268,184,200,7,7,eye,757,118120465
190,38,128,24,7,7,dla,765,20486485
494,356,184,240,7,7,eye,766,882381601
306,114,240,208,3,3,shi,764,300126433
506,158,72,176,9,9,eye,766,123178065
100,68,104,80,3,3,eye,765,3217761
258,496,72,56,3,3,eye,569,42229441
510,202,256,64,3,3,eye,765,78748489
330,252,192,120,1,1,eye,766,32659201
36,60,56,56,9,9,eye,575,1050841
328,18,224,32,9,9,eye,763,5747545
222,398,64,192,7,7,shi,761,753720859
334,504,152,1,1,1,eye,767,550369
108,426,120,72,5,5,dla,767,149580145
182,176,200,208,7,7,eye,642,182600705.0
88,438,72,72,3,3,shi,574,48733633
402,58,240,160,3,3,dla,761,138570741
154,260,240,96,9,9,eye,766,129875201
468,390,72,256,7,7,shi,767,2361687121
468,94,248,184,9,9,shi,767,2565910387
450,62,168,24,3,3,dla,765,14954941.0
296,298,96,168,1,1,shi,766,27806977.0
366,200,232,64,9,9,eye,761,166359201
18,336,200,32,1,1,eye,764,860161
4,390,232,120,1,1,eye,761,936001
266,482,184,88,3,3,eye,762,101983489
438,320,112,120,7,7,eye,761,234300801
248,100,200,224,7,7,eye,763,155942401.0
254,202,184,200,1,1,shi,767,42520193
422,16,24,224,1,1,eye,383,1677313
392,6,1,88,1,1,dla,191,37753
106,408,160,136,9,9,dla,757,1176562689
96,158,232,72,1,1,shi,575,7624449
412,426,208,104,3,3,eye,764,218534593
172,58,120,80,7,7,eye,759,10808997
160,94,56,184,1,1,eye,765,3044097
82,512,40,232,3,3,shi,757,58525697
150,184,72,88,3,3,dla,765,24651901
46,466,232,224,9,9,shi,757,1556810937
240,262,96,152,3,3,shi,767,160092481
422,94,80,192,9,9,eye,572,135455881
288,270,192,248,9,9,shi,767,4636284481.0
392,140,112,96,1,1,shi,575,13453441
34,420,40,168,7,7,eye,757,16964641
184,232,24,152,7,7,dla,763,95017969
38,354,8,176,1,1,shi,765,373825
30,496,88,248,9,9,shi,765,385743169.0
58,264,32,152,5,5,dla,757,30644881
100,116,8,72,1,1,shi,573,204161
90,32,184,144,1,1,shi,765,1748737
170,254,144,104,1,1,eye,765,14819377
264,328,248,112,7,7,eye,767,272014337
188,406,176,80,3,3,shi,759,241272809
184,386,72,40,5,5,shi,571,120865093
36,284,32,104,7,7,dla,767,22511581
386,476,144,248,9,9,shi,757,8102022657
14,46,152,240,1,1,dla,570,583681
146,326,112,120,7,7,shi,757,495188785
10,100,232,120,3,3,eye,767,1456001
434,52,224,136,1,1,dla,766,14622721
480,154,104,176,9,9,shi,767,1724609041
248,106,224,136,3,3,eye,763,43178041
504,440,152,112,3,3,eye,767,223589521
486,206,248,120,9,9,eye,764,422267041
100,504,32,112,7,7,shi,765,128459521
288,368,168,184,9,9,shi,767,4121134849
58,92,248,160,3,3,shi,757,36098041
134,76,208,256,3,3,eye,764,31783201
410,254,208,104,5,5,shi,765,1063081949
82,262,1,168,1,1,eye,287,4005457
94,18,224,16,1,1,eye,767,119809
272,444,80,160,1,1,shi,767,31861441
12,420,24,192,1,1,eye,575,1048321
358,92,224,136,3,3,shi,575,199134001
48,100,192,256,7,7,shi,767,175032001
72,88,72,256,1,1,eye,767,3514369
506,162,48,176,1,1,eye,574,15738625
224,194,56,144,9,9,eye,763,56405889
426,374,192,56,3,3,eye,766,78764401
28,118,88,56,9,9,eye,762,3217153
196,466,232,256,7,7,eye,762,646345729
288,50,200,216,7,7,eye,767,84816001
76,362,232,208,1,1,shi,766,28218625
308,330,120,144,5,5,eye,766,142813441
388,2,72,48,3,3,eye,765,227137
416,448,216,24,1,1,eye,767,19568641
460,214,192,192,5,5,shi,765,1389126217
146,78,88,200,5,5,shi,757,96046393
206,304,120,232,5,5,eye,764,145377665
64,250,200,88,3,3,shi,571,57288001
156,128,72,40,3,3,dla,767,7538441
100,432,144,40,5,5,eye,573,26023681
240,510,16,96,1,1,eye,383,12729601
412,234,24,256,9,9,shi,759,499971889
40,8,128,144,3,3,dla,141,6512689
214,30,208,128,5,5,eye,760,16254001
50,486,176,224,1,1,shi,765,18817921
244,132,88,24,7,7,eye,567,9517465
152,456,64,16,7,7,dla,763,34646881
114,414,248,80,5,5,dla,761,372419153
476,208,8,216,1,1,shi,767,3461121
98,260,176,256,1,1,eye,766,21565441.0
362,42,240,96,7,7,eye,766,38918881
116,134,200,88,7,7,eye,759,36746017
246,316,168,248,3,3,shi,761,467452481
462,346,112,72,7,7,dla,766,952015681
170,448,208,120,1,1,shi,765,34850817.0
494,238,96,152,1,1,dla,766,31518721
54,46,24,152,5,5,dla,764,4013761
256,36,144,144,7,7,shi,763,187024897
492,234,40,104,9,9,shi,767,596900305
400,226,248,32,7,7,dla,765,494299521
204,160,232,256,3,3,shi,767,271096961.0
124,368,40,40,1,1,dla,764,1344001
74,358,96,104,1,1,shi,766,5773825
284,488,8,136,1,1,shi,575,3654145
16,486,176,160,7,7,dla,763,164619841
506,338,200,176,3,3,eye,766,360713601.0
234,114,120,168,7,7,dla,764,424468513
454,438,256,32,5,5,eye,767,120236257
142,446,176,80,7,7,shi,565,1056694421
22,202,256,112,5,5,shi,766,56035609
490,406,152,64,7,7,eye,765,263734759
488,122,160,248,7,7,shi,763,1797689521
270,148,32,32,1,1,eye,381,1406593
178,398,208,208,7,7,eye,757,406786249
80,162,120,88,9,9,eye,765,18919009
252,492,88,64,3,3,eye,575,47299897
288,256,80,48,9,9,eye,575,59781121
186,362,168,8,1,1,shi,382,12406465
366,206,176,24,1,1,shi,287,14611169
412,328,16,88,1,1,shi,767,4775681
434,70,112,168,1,1,eye,766,11289601
120,92,192,256,1,1,eye,767,9185281
510,84,168,168,7,7,eye,765,151447969
446,178,200,56,7,7,eye,763,125357569
288,50,88,224,1,1,eye,767,6988801
128,98,64,96,1,1,eye,765,1345345
144,134,16,232,1,1,shi,767,1337857
260,466,160,184,9,9,eye,765,589564561
130,178,120,40,9,9,dla,741,113358337.0
318,174,104,192,1,1,shi,766,18892225
404,148,48,200,9,9,shi,759,581402461
430,398,160,72,7,7,shi,573,2583597897
410,502,200,120,9,9,eye,765,650988079
112,420,208,104,7,7,dla,763,762423145
434,96,176,208,5,5,eye,762,128848897
480,218,152,72,1,1,eye,767,24485761
40,74,232,208,5,5,shi,765,67542465
168,50,152,216,9,9,dla,767,408006145
346,230,8,88,1,1,eye,95,7630481
260,280,216,120,1,1,eye,767,38438401
484,324,144,248,5,5,shi,766,2197020673
250,100,232,136,7,7,eye,765,93290001
428,162,144,32,5,5,dla,718,126584641.0
110,184,160,160,1,1,shi,766,10598401
56,56,48,208,1,1,shi,763,677377
410,132,8,168,1,1,eye,141,10001377
376,44,32,136,1,1,eye,575,2489345
68,194,240,240,9,9,dla,759,1189510401
266,444,72,80,7,7,eye,762,127687297
154,288,248,56,1,1,eye,766,10838017
416,32,72,56,5,5,shi,763,22653697
394,354,184,184,7,7,shi,757,3654968581
82,132,248,32,7,7,dla,565,76617685
104,62,232,48,7,7,eye,763,7602193
348,132,104,48,1,1,shi,767,5175457
32,200,112,72,5,5,shi,763,34595201
42,432,48,1,1,1,eye,762,20737
24,192,88,48,1,1,shi,767,439297
238,52,72,80,7,7,eye,762,13380225
182,492,104,216,3,3,dla,762,290574337
158,398,144,144,3,3,eye,765,83446273
148,288,160,120,5,5,eye,747,77490433.0
322,148,48,256,1,1,eye,575,13298689
290,508,80,112,1,1,shi,765,25928321
66,70,48,224,1,1,shi,766,967681.0
466,452,184,176,5,5,eye,767,557132941.0
146,484,72,88,9,9,shi,565,733209665
282,398,56,112,3,3,eye,761,38066711
24,114,168,104,5,5,eye,767,4117681
274,304,208,112,1,1,shi,767,37812737
136,310,96,224,7,7,dla,763,655406101
38,328,232,256,9,9,shi,757,905210465
116,444,168,144,5,5,eye,759,109239985
158,296,168,208,7,7,eye,757,201406393
54,460,120,200,5,5,shi,764,288408961
296,144,80,232,1,1,shi,694,14929921.0
376,128,56,224,5,5,eye,763,53205505
320,208,1,80,1,1,eye,575,5840641
370,314,32,80,5,5,shi,765,162791417
314,276,32,256,7,7,shi,757,442333057.0
210,506,160,176,5,5,shi,765,1244262097
474,98,256,112,1,1,shi,767,26091521
144,512,88,8,7,7,dla,767,9273217
486,204,56,176,9,9,shi,764,1156613905.0
160,108,256,240,7,7,eye,765,115388929
404,244,48,64,1,1,shi,767,5176705
236,482,152,120,9,9,eye,759,360451651
326,308,176,224,3,3,shi,763,635744033
440,64,168,200,9,9,eye,766,150712321
462,174,80,120,9,9,eye,574,169487137
134,2,224,176,1,1,dla,44,5913601
106,270,160,80,1,1,dla,767,7488001
462,498,56,32,7,7,eye,766,45178561
58,422,72,40,1,1,eye,767,2194401
390,136,184,112,1,1,shi,767,21470593
302,154,24,80,9,9,shi,757,120641753
446,240,200,16,5,5,eye,763,32417281
270,336,240,64,5,5,eye,765,109299457
398,166,104,248,9,9,shi,757,2056432569
268,340,232,40,7,7,eye,759,89753201
182,420,136,248,5,5,eye,570,282522241
270,320,72,104,7,7,eye,765,118782721
222,228,120,88,1,1,eye,767,9911617
404,486,216,8,1,1,eye,767,6873985
10,500,56,216,3,3,eye,765,3276001
446,436,160,136,5,5,eye,763,397516897
142,236,184,120,9,9,shi,757,956164385
342,78,256,208,3,3,eye,764,67081249
250,46,96,256,7,7,shi,765,202919801
120,332,48,144,5,5,dla,767,111249601
68,338,152,112,1,1,eye,765,8744737
460,510,224,168,7,7,eye,681,1105810561.0
274,196,256,40,3,3,eye,766,25480001
358,28,152,248,3,3,shi,767,54600001
26,258,96,120,9,9,shi,757,95696329
182,2,64,16,3,3,dla,18,1444353
510,46,248,232,9,9,shi,765,1824502969
306,202,240,24,5,5,eye,764,24834689
14,102,216,32,9,9,eye,762,1390465
270,170,72,104,3,3,shi,717,58054321.0
382,430,152,256,3,3,eye,767,382459201
200,122,200,224,1,1,dla,765,19712001
72,182,200,64,1,1,shi,767,2839201
196,78,168,128,5,5,eye,762,28828801.0
32,110,136,248,9,9,eye,763,15420241
216,342,48,112,1,1,eye,767,8963137
90,14,200,120,9,9,shi,765,39196585
478,306,200,112,5,5,eye,767,324213121.0
336,90,72,56,3,3,dla,767,23073121
258,412,224,88,5,5,eye,761,181907889
374,442,248,32,3,3,eye,766,60112001
148,122,88,128,1,1,eye,765,5153281
368,146,72,16,3,3,eye,571,4902681
24,492,136,176,3,3,eye,575,18662545
222,46,136,8,7,7,dla,761,2837901
100,500,8,48,1,1,eye,573,2640001
300,284,224,64,5,5,eye,767,102580801
10,268,160,80,3,3,eye,765,1902265
154,134,224,232,5,5,shi,754,454322177.0
498,464,32,232,7,7,shi,761,1178159105
160,262,40,256,3,3,eye,573,32425121
460,62,160,88,3,3,eye,765,22579285
178,194,168,72,7,7,shi,757,549058801
132,180,136,176,9,9,eye,767,73208521
512,168,240,104,1,1,dla,767,41857921.0
208,296,184,168,9,9,eye,763,269714017
290,2,40,208,5,5,shi,765,2089857
208,472,72,88,9,9,dla,763,691159041.0
206,230,200,88,5,5,shi,565,466219201
356,244,16,32,1,1,shi,575,1522561
36,118,216,160,7,7,shi,767,131167621
384,334,24,8,1,1,eye,287,1111553
338,344,48,1,1,1,shi,286,6142465
164,386,168,176,1,1,shi,766,35017921
498,304,184,64,7,7,eye,761,200972881
230,314,56,104,1,1,shi,766,8862337
92,464,256,72,7,7,shi,759,1046624385
236,78,80,232,1,1,eye,767,9409921
502,448,232,120,9,9,shi,757,8166648449.0
58,56,136,1,1,1,eye,767,10921
420,494,104,136,5,5,eye,767,281031661
296,270,144,208,3,3,eye,766,150903001
76,158,144,232,9,9,eye,567,73173751
224,224,216,144,9,9,shi,763,2536547329
34,294,256,64,3,3,dla,762,25196801
490,412,120,208,3,3,eye,765,253520905
92,40,160,152,5,5,eye,759,8362801
410,292,32,32,1,1,eye,765,4214145
168,408,32,88,7,7,shi,575,174695809
364,8,40,64,1,1,dla,767,1031681
186,102,160,184,1,1,shi,766,9987841
356,254,200,104,5,5,eye,762,182392321
122,22,136,184,3,3,shi,757,9891883
360,394,200,16,1,1,shi,383,30732001
424,26,24,168,5,5,shi,763,16552537
96,274,24,144,3,3,dla,767,13620641
416,208,80,40,3,3,shi,763,61023873
114,380,248,112,7,7,eye,761,136313601
182,282,120,168,3,3,shi,762,164398105
330,72,192,96,9,9,dla,766,866595841
468,196,88,256,7,7,dla,767,1883622001
358,500,256,192,5,5,eye,767,686280001.0
104,498,160,120,1,1,eye,767,20975761
138,414,208,80,3,3,shi,761,213159493
436,456,232,144,3,3,eye,766,350208001
286,330,144,232,3,3,shi,766,484117921
52,368,256,248,1,1,dla,764,22855681
368,422,192,64,5,5,eye,763,140465233
144,220,112,40,7,7,shi,575,164588161
480,298,16,64,3,3,dla,767,18922401
150,204,256,232,3,3,eye,765,85765681
446,164,192,88,3,3,shi,763,252449793
380,330,24,40,3,3,shi,573,24929521
396,184,48,184,3,3,shi,767,90788545
206,202,232,56,9,9,shi,565,755528279
14,94,160,136,3,3,dla,570,5420033
290,432,88,128,1,1,shi,765,24254209
350,130,192,232,7,7,eye,765,221170951
342,30,208,80,7,7,eye,764,22170721
246,356,152,232,9,9,eye,569,533118901
322,106,224,104,1,1,eye,767,15477697
508,218,200,216,5,5,eye,765,479986297
348,356,232,56,5,5,shi,767,706636505
100,486,184,136,1,1,shi,765,29509921
76,500,224,8,1,1,shi,190,9408001
86,146,56,40,3,3,eye,766,1518401
188,438,112,136,9,9,eye,759,200713501
92,390,248,216,5,5,eye,759,155826841
258,198,256,120,9,9,eye,761,215608537.0
108,404,72,224,1,1,eye,575,21176065
78,104,32,160,1,1,eye,765,1464321
118,368,240,184,5,5,shi,757,771731329
248,406,1,168,1,1,eye,11,18620785
304,84,56,16,1,1,shi,766,1580545
224,264,72,24,1,1,eye,767,3129985
342,306,40,40,3,3,shi,764,35942149
448,276,144,96,9,9,eye,571,300928321
88,258,160,160,1,1,eye,766,11888641
426,384,224,176,3,3,eye,766,347443201
48,242,200,112,7,7,eye,767,36489729
134,312,248,120,9,9,dla,757,1467782401
26,102,240,80,5,5,shi,757,31420897
388,142,168,216,3,3,shi,765,332191393
494,414,112,256,9,9,eye,766,930605761
100,208,152,72,9,9,eye,573,40485121
358,482,168,24,5,5,eye,767,52229521
266,310,1,88,1,1,shi,573,184141
236,12,40,184,7,7,dla,375,70342397
442,296,248,200,3,3,eye,767,315154753
14,258,56,136,3,3,eye,762,1486081
264,126,216,104,7,7,shi,767,684739441
400,168,224,200,3,3,eye,765,161441281
494,300,32,224,5,5,shi,766,416124001
266,426,200,144,7,7,shi,762,3232905481
386,324,80,144,9,9,eye,764,325451521
360,468,184,24,1,1,shi,767,33583681
404,110,144,168,7,7,eye,764,157528801
146,412,248,160,5,5,shi,757,1105202773
176,298,128,24,1,1,eye,766,2746369
248,176,40,160,9,9,dla,763,293576449
448,132,136,56,7,7,shi,763,376836769.0
476,276,208,40,7,7,eye,762,129123841
172,278,80,224,1,1,eye,574,23912449
500,148,32,152,9,9,shi,765,431634601
58,126,248,72,9,9,eye,757,19059265.0
42,334,56,128,5,5,eye,762,8817601.0
450,22,152,152,7,7,eye,765,30623671
178,254,40,184,1,1,eye,575,9113521
274,380,160,240,7,7,eye,766,523260001
48,468,24,56,7,7,shi,767,19818865
54,230,64,224,7,7,shi,764,141240241
88,422,136,256,5,5,eye,574,142561729
34,450,248,16,3,3,eye,762,2880001
126,130,72,16,5,5,dla,764,7745473
390,44,72,208,3,3,shi,765,43407937
436,326,136,192,3,3,eye,574,250368001
16,68,144,184,5,5,eye,571,2952289
158,474,184,104,9,9,eye,757,201422035
378,112,120,216,3,3,eye,764,55544833
204,486,40,112,3,3,shi,767,68029309
230,222,168,120,1,1,eye,766,20139841
218,22,144,232,1,1,eye,574,3674881
324,124,208,16,5,5,eye,767,12092977
436,184,64,16,1,1,dla,766,1474561
176,506,24,224,7,7,dla,766,271226881
98,78,168,56,1,1,eye,766,1415233
376,54,120,40,7,7,eye,763,9974341.0
404,462,224,72,7,7,eye,764,367567201
10,64,256,136,9,9,shi,766,25716225
190,382,184,88,7,7,eye,765,128292409
206,274,104,200,3,3,shi,764,209125569
416,338,104,160,7,7,shi,763,2026337041
138,134,80,192,1,1,dla,573,7096321
170,394,168,80,7,7,eye,765,108527695
292,110,64,56,9,9,shi,567,145752531
500,352,176,48,1,1,eye,767,27675649
174,12,208,168,5,5,eye,761,6936337
494,414,136,56,9,9,eye,766,199415521
220,26,200,152,9,9,eye,766,22264321.0
368,240,112,96,3,3,eye,763,51578881
42,432,64,136,1,1,eye,762,2820097
444,52,224,32,5,5,dla,767,68603921
476,8,24,184,1,1,shi,767,299521
418,346,152,56,9,9,shi,574,1687151361
480,372,24,256,1,1,eye,383,49520641
6,502,224,128,3,3,eye,764,4638481
50,478,176,80,1,1,shi,573,9254081
450,54,256,152,3,3,shi,765,167269051.0
234,482,144,136,9,9,shi,764,2485346241
92,22,56,224,3,3,shi,759,3971089
310,234,144,136,7,7,eye,573,203017699
158,432,168,16,1,1,shi,573,12773377
296,378,144,56,7,7,shi,763,756866377
28,350,40,128,3,3,eye,762,3763201
172,468,240,152,9,9,eye,759,418579201
130,110,200,112,9,9,eye,765,41750281
318,174,240,112,7,7,shi,761,1269500521
454,76,208,144,3,3,eye,767,60440065
302,432,160,160,7,7,eye,763,425798209
78,126,136,120,7,7,eye,761,24643711
66,232,152,48,1,1,shi,766,2539009
122,488,120,216,9,9,eye,757,232904833
170,462,160,224,3,3,eye,765,158666509
380,192,168,112,7,7,eye,765,171952129
310,164,248,248,5,5,eye,765,250112465
494,474,40,168,1,1,eye,766,43001281
212,384,240,224,3,3,eye,759,222895105
314,48,144,256,5,5,eye,764,58091041
200,18,56,208,1,1,eye,765,823681
30,108,72,224,1,1,shi,765,1026433
22,8,40,216,5,5,shi,766,634113
498,470,128,88,5,5,shi,569,1453122501
444,12,256,16,7,7,eye,767,2092129
76,312,200,216,5,5,eye,759,102981217
304,234,176,40,1,1,shi,574,13837825
50,342,136,64,3,3,eye,765,9803431
356,150,88,144,1,1,eye,575,16848001
388,262,56,80,3,3,eye,765,24175789
220,148,232,256,3,3,shi,766,270508481
458,64,24,104,7,7,shi,757,51794305
54,192,152,40,7,7,eye,764,7637761
60,486,160,224,5,5,eye,767,96548761
90,228,200,104,9,9,eye,765,54917677
458,198,168,48,9,9,eye,764,110573101
16,250,96,152,1,1,shi,763,1296001
48,304,112,136,1,1,eye,767,4299777
234,166,152,176,1,1,eye,767,22788481
468,388,104,40,7,7,eye,767,89127481
308,18,216,112,5,5,eye,766,12241153
306,416,136,64,1,1,dla,766,20471809
100,350,40,240,5,5,dla,765,127949761
58,428,72,208,7,7,eye,757,71269705
204,258,248,152,1,1,shi,767,42421393
6,460,40,120,3,3,dla,766,1972961
214,354,232,216,9,9,shi,757,5501855257
422,46,208,56,1,1,shi,767,4477825
500,198,104,128,5,5,eye,765,124245001
432,252,48,216,1,1,eye,575,25474177
488,376,136,32,7,7,eye,571,108166177
84,204,64,240,9,9,shi,767,310955569
336,234,176,72,7,7,shi,575,1310203441
428,272,184,32,7,7,eye,766,68739841
250,460,136,136,5,5,shi,765,1139431501
58,438,248,48,5,5,eye,721,23320873.0
70,102,200,136,5,5,dla,765,90914209
486,394,16,24,1,1,dla,767,1432705
344,296,32,184,1,1,shi,767,10712833
100,174,128,248,9,9,dla,765,700704001
136,62,224,24,7,7,dla,763,26216245
428,254,144,88,5,5,eye,574,139436857
138,20,184,224,1,1,dla,285,6347265
192,254,232,96,7,7,eye,767,124472193
42,334,104,216,1,1,eye,762,6925825
336,458,56,96,1,1,shi,575,18671745
252,238,208,48,9,9,dla,767,653856001
20,184,128,224,1,1,dla,765,1892353
54,268,232,88,9,9,shi,572,525240337
46,16,128,104,1,1,dla,191,692225
506,404,40,152,5,5,eye,766,153875521
298,100,104,192,3,3,shi,767,82875001
198,124,200,80,1,1,eye,766,8570881
458,222,56,208,1,1,shi,766,25062913
284,464,184,48,1,1,eye,767,20846593
152,476,80,216,1,1,eye,574,34546177
80,32,56,256,9,9,eye,765,5813249
52,502,216,200,3,3,dla,759,163047457
464,484,144,56,5,5,eye,763,186201577
386,286,1,112,1,1,shi,765,245389
416,414,48,32,9,9,dla,763,226786561
396,298,136,216,9,9,eye,767,459287137
328,124,64,152,1,1,shi,766,8570881
286,198,200,200,5,5,shi,766,1110732481
172,366,208,248,7,7,eye,759,434054041
496,304,184,8,3,3,eye,763,8255425
86,126,168,208,7,7,shi,757,344584801
154,388,136,208,7,7,eye,766,255195361
392,402,16,240,5,5,shi,763,189337177
332,204,24,120,7,7,shi,759,119573785
56,24,104,160,3,3,eye,763,1299985
170,336,136,192,1,1,dla,765,29297665
260,182,208,104,9,9,eye,765,168856689
462,354,256,80,3,3,eye,766,154627201
204,136,224,56,7,7,eye,767,43576577
332,326,232,64,9,9,eye,759,246227801
482,22,96,248,1,1,eye,766,5761537
446,198,72,56,1,1,eye,766,10910593
374,120,232,120,9,9,eye,766,189246721
202,234,248,248,3,3,shi,762,422903521
294,256,96,256,1,1,shi,766,31850497
30,412,120,96,5,5,eye,765,11788969
248,74,16,256,1,1,shi,767,1292929
510,54,88,200,7,7,shi,765,442755073
462,166,32,112,1,1,shi,766,5354497
354,78,184,136,5,5,dla,569,423355681
152,456,16,96,5,5,dla,715,33729409.0
48,54,168,88,9,9,eye,767,5674537
18,386,240,136,7,7,dla,764,188238961
82,134,64,112,1,1,eye,767,1365729
330,294,192,160,9,9,eye,766,401239441
180,62,168,112,1,1,eye,767,4062241
120,350,104,72,5,5,eye,767,29498001
304,22,208,256,9,9,eye,763,60767169.0
386,490,192,112,9,9,eye,764,553719601
142,136,208,144,1,1,eye,767,12220417
158,150,160,176,3,3,dla,765,120085057
250,418,200,144,7,7,eye,765,410476001
78,112,120,64,5,5,eye,761,5276545
358,150,216,192,3,3,eye,767,125568001
12,108,96,152,3,3,shi,767,3299617
368,32,40,56,3,3,shi,763,4046529
2,314,24,224,7,7,shi,758,2219353
16,6,200,232,1,1,shi,727,86401.0
124,80,136,192,3,3,shi,759,36225361
166,50,256,136,5,5,shi,565,157504951
418,412,40,80,9,9,eye,382,111721217
302,316,16,240,7,7,shi,757,187428449
144,248,72,160,1,1,eye,575,12380161
372,248,104,224,3,3,eye,767,124022817
158,120,40,40,9,9,eye,565,6180961
158,324,184,120,9,9,dla,757,1522988545
380,308,136,224,9,9,eye,765,455613313
402,234,104,192,5,5,shi,761,706450681
