M,N,GEMM_K,df,ConfigID,rewards
310,28288,13122,dla,765,2133565825.0
456,19024,4300,shi,767,643573777.0
114,13824,6966,shi,761,171570001.0
432,5040,650,eye,767,6761665.0
132,10752,26892,eye,767,67514525.0
306,12784,3800,eye,572,88765569.0
406,29952,30132,shi,762,7635314881.0
316,40016,3400,shi,759,788040169.0
64,54612,3420,shi,763,195265281.0
458,10164,21168,eye,764,233715457.0
382,19200,176,shi,767,28114945.0
216,22736,8650,eye,767,179964289.0
496,17856,212,dla,767,38997505.0
122,20340,8428,eye,757,54012817.0
304,9984,34668,shi,763,2023859633.0
346,168,464,shi,767,524785.0
78,16464,7100,eye,761,37909457.0
380,5760,84,eye,383,8386561.0
210,19456,6156,eye,765,58246021.0
422,11520,3078,shi,565,374344385.0
248,42292,8526,eye,763,271339777.0
220,2304,502,eye,766,7710721.0
474,4176,2150,shi,569,118378657.0
170,12288,472,shi,573,22595585.0
372,22400,2916,eye,767,49949929.0
54,27648,276,dla,764,8294401.0
188,34452,4284,eye,764,190163905.0
32,22896,11600,shi,763,160521729.0
322,41652,2548,dla,762,659101249.0
134,2496,58,eye,764,417601.0
506,12180,19306,shi,766,2267022417.0
190,19504,7750,shi,765,542327641.0
124,7888,6150,eye,567,36970849.0
216,18480,11500,dla,767,800997121.0
102,39856,5850,shi,761,449323057.0
58,15360,31104,shi,565,693238273.0
264,2560,40338,shi,575,852037165.0
220,2772,21168,shi,766,391288321.0
160,2048,38718,eye,765,24810113.0
142,9920,11502,eye,757,32867321.0
56,28116,612,eye,571,6880105.0
96,8100,4356,dla,767,56505601.0
314,624,3000,shi,764,11352601.0
322,13200,7150,dla,762,534336001.0
490,34036,3384,shi,765,1268216041.0
44,21632,398,eye,766,7947265.0
308,41140,3822,eye,766,117936001.0
118,9396,3024,eye,762,19740673.0
384,14720,368,eye,767,56336385.0
414,6708,3564,eye,572,86635297.0
346,4340,1116,dla,767,27437481.0
12,15360,8262,dla,767,29890561.0
470,26260,4312,eye,765,154338977.0
80,4752,4650,shi,765,49144177.0
260,4116,15680,eye,585,49021441.0
52,8004,2430,dla,759,19249621.0
110,32144,1800,shi,766,116510401.0
64,4368,4900,shi,763,26369057.0
430,51728,2400,shi,765,875846017.0
510,13680,12550,eye,765,308452897.0
20,13312,36774,eye,765,23564417.0
8,20532,2286,eye,764,2150873.0
506,8436,4482,eye,766,169519201.0
212,1008,7100,dla,759,26979121.0
42,21620,3564,shi,762,56586817.0
460,2688,30,shi,574,1693441.0
150,39216,2050,shi,765,210499741.0
416,46400,5832,shi,763,2251821313.0
410,41600,33858,eye,765,1278700457.0
22,11124,3978,dla,766,15573601.0
112,23940,23912,shi,763,1221698241.0
214,22848,24786,eye,757,304205923.0
342,30464,16848,eye,764,369274881.0
438,46512,6050,shi,761,2165215625.0
20,4224,356,shi,765,563905.0
378,17940,1080,shi,764,127895041.0
398,18304,40662,shi,757,5052840841.0
14,6144,31428,eye,762,7052289.0
174,20020,4338,eye,761,93792381.0
208,16932,2088,shi,763,133512289.0
144,3456,8910,eye,767,10274881.0
146,11220,3744,eye,630,41373697.0
366,10368,482,dla,767,33426433.0
250,22500,2790,shi,657,315037501.0
56,24852,22246,shi,763,543361729.0
506,10452,342,dla,574,48079201.0
490,14288,10850,shi,573,2000620217.0
190,8740,36,eye,765,359633.0
236,13872,350,eye,567,6840933.0
420,39984,3200,eye,767,221150721.0
130,8976,11350,dla,765,234309505.0
444,23460,1062,eye,767,64721585.0
146,2064,12400,shi,757,65500273.0
102,2820,4590,dla,761,21093601.0
484,54692,12740,eye,766,815443201.0
236,32256,262,dla,767,41932801.0
146,27648,166,eye,765,14023681.0
312,23808,8748,shi,767,1048203937.0
464,15748,4410,shi,763,509854801.0
138,10500,23226,eye,761,102914881.0
378,10164,8036,eye,764,91334881.0
308,18900,9702,eye,766,155675521.0
106,51584,8100,eye,757,82934401.0
388,7680,118,eye,767,9719425.0
372,9216,282,shi,575,21820033.0
102,7424,318,shi,767,4762369.0
98,15732,17150,eye,762,67424001.0
44,31376,6300,shi,766,164223361.0
160,2484,612,eye,765,1584129.0
470,31104,27054,shi,765,8240696497.0
304,30420,6076,eye,571,188885233.0
48,14484,1152,dla,767,12630049.0
6,51840,36126,eye,766,20851393.0
32,37492,1098,eye,763,8692257.0
132,10240,28512,dla,767,657592321.0
10,11972,19110,eye,573,8042581.0
488,6912,35964,shi,571,2527749721.0
224,9028,10878,dla,763,397376449.0
218,37236,1764,eye,766,84672001.0
256,37060,9114,eye,763,233913601.0
252,8900,7546,eye,767,49525477.0
22,16128,308,shi,766,2128897.0
208,4352,20412,dla,763,293742593.0
70,1620,12544,eye,765,5279233.0
406,4480,196,eye,767,6930561.0
396,32004,2322,shi,767,464864401.0
110,29760,220,eye,766,12672001.0
394,7700,3492,shi,767,194211073.0
220,5684,15190,dla,766,306936001.0
22,8320,8100,shi,766,28516001.0
162,21712,1900,shi,764,113374369.0
312,88,182,eye,767,123033.0
188,51840,58,shi,767,10423297.0
276,7680,196,eye,767,7032481.0
184,51012,5684,shi,763,979284065.0
88,36864,6,shi,766,331777.0
266,19588,2430,shi,762,230049721.0
134,32,474,shi,380,71101.0
508,22800,4650,eye,765,190478881.0
232,34560,11826,eye,763,175863425.0
42,25668,19012,eye,570,64867393.0
384,6500,9310,eye,527,85946881.0
176,23312,1600,shi,766,104832001.0
244,36800,40014,shi,759,7188405433.0
504,30800,2700,dla,767,778747201.0
12,35316,6762,shi,767,52594561.0
272,448,428,shi,767,1023777.0
160,9156,3430,dla,765,143859073.0
472,39424,2268,shi,763,753761345.0
468,34164,12642,eye,767,604504837.0
380,16132,11368,shi,765,1884014465.0
344,4160,27702,shi,763,762506101.0
180,1792,208,shi,191,9085441.0
128,26980,648,dla,571,63025281.0
490,25200,2100,shi,765,411929281.0
116,16640,60,dla,767,2163201.0
232,34928,1450,shi,763,199350641.0
326,18020,24010,eye,763,394768501.0
346,33792,58,eye,767,12594817.0
172,14196,3888,eye,759,53610337.0
332,720,4250,eye,572,5686161.0
274,15792,600,shi,757,62064289.0
294,20468,558,shi,762,78505393.0
186,13284,792,dla,766,45165601.0
294,40660,3942,shi,762,748018153.0
502,384,502,shi,143,13156417.0
148,25200,3850,eye,759,46039841.0
144,22420,3942,eye,767,68748481.0
154,17024,2754,eye,766,16559089.0
388,15984,1400,eye,765,36180145.0
222,33796,3960,eye,761,214896001.0
348,51920,5800,shi,767,1777376129.0
274,6992,9700,shi,565,491055129.0
288,26500,19502,shi,767,2808975745.0
258,16592,3550,shi,761,447557589.0
236,15120,5300,eye,759,64428709.0
230,12240,6450,shi,765,534487249.0
256,1700,19208,eye,763,29578753.0
122,28672,480,shi,764,30105601.0
62,49600,258,eye,764,17915521.0
416,27648,176,eye,767,34594561.0
420,17316,1944,eye,767,85700161.0
308,4864,186,shi,382,9499393.0
268,9588,4482,eye,765,78309505.0
342,29008,7950,eye,764,327718081.0
456,28084,3474,shi,767,750062849.0
86,1152,88,eye,574,202753.0
386,18304,1620,eye,764,22600801.0
448,5940,3798,eye,763,69005441.0
46,17908,6370,dla,565,122329549.0
380,3876,1960,shi,573,84933041.0
66,6068,15484,shi,574,151289425.0
164,38500,7252,eye,759,129102769.0
422,8064,256,dla,767,15095809.0
314,9600,282,shi,766,15701761.0
458,13284,20678,shi,757,3073088401.0
294,6720,298,eye,766,16220737.0
376,4608,174,shi,575,6948865.0
414,22848,202,eye,575,46322641.0
178,10240,66,eye,575,3294721.0
10,1524,252,eye,766,20385.0
150,224,44,dla,765,36961.0
168,35332,9800,eye,767,138532801.0
186,9728,362,dla,766,11907073.0
500,7936,16038,shi,381,1988989201.0
120,26676,19698,eye,767,161009041.0
420,15552,22194,shi,767,2684893121.0
334,59536,7150,shi,757,2340146953.0
296,12740,2790,eye,766,60264001.0
302,21364,9996,eye,763,194978305.0
114,2500,2156,shi,761,9838049.0
512,33796,3222,shi,763,941408257.0
434,19712,18,eye,766,3041281.0
448,10452,2340,shi,763,246442561.0
306,45056,80,shi,766,20643841.0
440,49140,23226,eye,766,1228608001.0
294,6084,234,eye,570,3634177.0
134,7040,206,eye,572,4944001.0
286,18868,13034,eye,766,179262721.0
364,340,21364,shi,570,77810305.0
130,1008,12350,shi,573,44992533.0
150,7056,3450,shi,765,87010381.0
250,14196,1980,eye,765,39039001.0
318,10100,19796,shi,761,1272236805.0
32,9984,26568,dla,763,155510785.0
460,3520,348,eye,766,15434497.0
402,144,36,shi,767,2291329.0
252,11776,15390,eye,767,81527671.0
406,8580,2466,shi,762,221439129.0
240,2048,468,shi,767,3893761.0
420,23700,3726,shi,767,706387501.0
458,7524,13034,eye,572,203869849.0
262,1024,23004,shi,757,96507177.0
422,3312,9250,shi,764,360303411.0
322,6532,1116,shi,762,49864369.0
96,37632,16,eye,767,1118209.0
444,50112,2592,eye,767,119811329.0
298,144,250,eye,143,11700001.0
36,14276,3420,eye,767,10810621.0
180,46656,186,shi,767,31337281.0
392,2548,2736,shi,763,45268945.0
278,15488,31590,shi,757,2320079581.0
94,9600,334,shi,767,5557761.0
168,5236,294,shi,767,5039245.0
432,6528,326,eye,575,21969793.0
446,4788,12348,eye,763,66552193.0
356,80,198,shi,191,6177601.0
282,3780,1890,eye,761,19542601.0
52,13824,404,shi,572,6981121.0
336,12644,22932,eye,767,277857217.0
484,768,114,shi,382,1926145.0
352,54356,846,shi,766,303579393.0
190,48400,11500,shi,765,1924338241.0
460,4624,9700,eye,573,125435745.0
324,9216,106,eye,767,7143553.0
294,7216,3200,eye,762,25546753.0
434,7524,3906,shi,762,259070225.0
258,1940,13524,shi,737,139662625.0
444,11076,1710,eye,575,59769061.0
464,9856,354,eye,767,30152305.0
502,11956,15680,eye,767,284981761.0
40,19588,4338,dla,765,57040257.0
270,20196,3780,shi,765,417947041.0
418,34804,9702,shi,766,2750330485.0
98,2288,11600,eye,762,10289665.0
460,10064,1050,eye,765,20367145.0
134,1456,7500,dla,764,24679201.0
22,34816,324,shi,766,4230145.0
116,340,24010,shi,567,27880021.0
308,17856,368,eye,766,35610625.0
304,10608,3750,eye,763,50410801.0
80,19588,4086,eye,765,39661441.0
386,7700,10486,eye,764,89480249.0
458,2736,12350,eye,764,91101505.0
28,7412,14798,dla,762,50994561.0
398,3492,10486,eye,762,50353345.0
116,1536,33696,shi,759,93845857.0
22,31824,12100,eye,658,34197505.0
170,45632,14742,shi,765,1864828057.0
312,2432,32,eye,767,519169.0
52,9744,10800,eye,759,27226369.0
10,17808,5000,shi,766,16813601.0
64,19456,11340,shi,763,278742241.0
210,13248,810,eye,765,4087441.0
60,8832,50,eye,767,598001.0
214,34804,8820,dla,760,1104470137.0
194,15540,8918,shi,565,727697881.0
438,6308,3690,eye,574,91840001.0
206,43316,3366,eye,764,172108817.0
90,16000,176,eye,765,5575681.0
420,6500,19306,eye,767,154323891.0
54,3060,20776,eye,764,14617825.0
102,10880,28674,eye,761,79130683.0
176,29748,3744,dla,766,333177601.0
498,12784,12450,shi,761,1266556429.0
12,8640,18792,shi,767,54127457.0
262,46400,24786,eye,757,679537873.0
72,11088,12050,shi,575,229202569.0
228,12480,482,eye,767,24763233.0
330,2772,342,eye,766,2280001.0
412,11520,28998,dla,759,2313792001.0
318,43200,23004,eye,761,674389809.0
66,5712,7250,eye,766,11525761.0
238,24304,8800,shi,762,1040019201.0
292,33300,1116,eye,762,66662401.0
14,3248,1500,eye,762,253441.0
16,15444,1692,shi,571,10770145.0
394,2244,4212,dla,767,64573345.0
476,5376,11016,shi,378,881103201.0
312,17460,15582,eye,767,253232305.0
30,43844,24500,dla,765,516657697.0
424,8692,15680,shi,763,1409986561.0
476,10560,322,eye,767,40185601.0
238,4644,324,dla,570,10105345.0
40,18304,254,shi,765,3933953.0
342,41664,52,shi,767,14585377.0
438,31616,48,shi,766,14008321.0
18,25984,21708,eye,764,20346561.0
30,896,86,shi,765,45409.0
412,42500,24500,eye,675,1095714001.0
308,6864,6900,eye,766,57589057.0
472,32256,3402,shi,763,925072093.0
154,28288,39690,shi,574,3814544161.0
62,21504,24138,shi,757,503193861.0
370,1140,414,dla,765,3838381.0
70,15808,404,eye,765,9456833.0
124,6864,2650,shi,759,43463923.0
414,10064,650,eye,572,16217761.0
34,42372,882,shi,757,24190321.0
190,6864,4600,shi,573,136459369.0
422,5668,19992,shi,757,878786305.0
74,27440,8750,eye,757,73970401.0
486,25252,3942,shi,764,908047585.0
292,9600,458,dla,766,24883201.0
160,12740,4104,shi,765,138419713.0
434,14484,72,eye,762,3237889.0
74,46740,234,eye,760,4413241.0
144,16048,9400,eye,767,130378753.0
130,12740,1170,eye,765,18762381.0
322,17168,5850,eye,762,113667841.0
70,1716,288,dla,381,1093093.0
206,1332,846,shi,764,4220225.0
478,22260,10878,shi,757,2208061729.0
480,2432,266,eye,575,21024641.0
488,3344,3050,dla,763,82001569.0
166,21120,34344,eye,757,240924433.0
80,40016,8550,shi,765,449065153.0
88,23936,22680,eye,766,95907841.0
418,11648,46,eye,767,4688321.0
444,42480,3150,eye,767,202069729.0
218,28208,250,eye,766,5796001.0
466,10752,23328,shi,757,2088813313.0
64,11648,206,eye,763,3322369.0
56,17444,22834,dla,763,383907553.0
280,14336,14,shi,765,965889.0
362,39508,1548,shi,766,374388961.0
74,6308,3240,shi,757,27852121.0
90,39312,100,shi,765,5620609.0
368,1536,8586,eye,763,9493573.0
192,37840,750,shi,767,95103361.0
298,3796,4998,dla,767,111792201.0
508,43264,4698,shi,759,1986345025.0
328,41664,11664,dla,763,3325912129.0
262,12096,126,eye,767,8072065.0
216,45056,94,dla,767,21086209.0
328,56388,972,eye,763,95680225.0
138,36036,9408,eye,761,132877441.0
390,26772,22932,eye,765,716938561.0
230,18352,10700,eye,765,185313301.0
186,4224,14094,eye,761,23641903.0
270,4608,33696,dla,765,706309633.0
252,45872,9400,shi,767,1782537793.0
34,22272,22356,dla,757,308578561.0
130,56580,972,shi,765,116683633.0
352,33060,3366,eye,766,229785601.0
60,13888,26,shi,767,378561.0
44,9072,7250,shi,766,53631441.0
406,16128,31752,shi,762,3713448145.0
292,21204,588,shi,759,63918217.0
40,4224,294,shi,285,2276737.0
312,11556,522,shi,767,34961473.0
476,31248,2300,shi,762,543646401.0
360,40788,2376,shi,767,707002561.0
126,10148,2358,eye,764,17445009.0
26,3696,6050,dla,757,9801793.0
298,32256,6318,shi,757,1085215873.0
230,48,294,eye,46,3556225.0
16,24816,1350,dla,763,9976033.0
412,72,308,shi,95,10090081.0
178,46656,34992,eye,757,601634305.0
166,10580,3762,dla,767,113015561.0
140,53424,1700,shi,765,240098209.0
194,10100,1568,shi,757,61536801.0
284,29008,12550,eye,759,431981041.0
504,2052,4032,shi,767,77465473.0
142,22848,7128,shi,757,413267713.0
26,17860,2682,eye,764,7037569.0
240,42180,864,dla,575,183904801.0
266,640,258,shi,381,3065041.0
152,27968,24300,eye,763,188664301.0
18,10836,1026,eye,572,1570465.0
18,17712,7700,eye,764,9188257.0
362,8320,34020,dla,766,1714352641.0
484,15824,11400,eye,766,315646849.0
6,5824,262,shi,764,205409.0
206,2772,12348,shi,757,213981265.0
72,2640,5400,shi,767,18677953.0
320,29748,1818,shi,765,388887169.0
102,44880,12050,eye,761,217763745.0
28,10752,394,eye,762,2420737.0
326,49776,12300,shi,757,3929283217.0
52,16240,2300,dla,567,42646241.0
246,18564,4176,eye,761,108817281.0
440,21504,30294,eye,766,587150081.0
32,13104,600,shi,571,5996545.0
286,49220,3456,shi,766,848959489.0
444,14592,15066,shi,767,2033782405.0
96,18480,1000,eye,575,7801921.0
2,816,12000,shi,759,578881.0
98,49600,142,eye,766,15213313.0
382,9588,1584,dla,767,100328833.0
394,33040,12650,shi,757,2802260385.0
426,152,332,eye,767,466129.0
158,35524,2214,eye,765,77366017.0
482,20976,8300,eye,766,306417409.0
68,9108,24402,shi,567,328802509.0
306,8832,22518,shi,764,992403289.0
464,6144,166,eye,383,16159105.0
370,2160,8150,shi,765,181074745.0
276,43844,13916,shi,767,3472959889.0
506,2688,40662,dla,766,882352129.0
142,12036,504,shi,766,14752193.0
446,32640,31428,shi,757,10099167805.0
474,46640,5850,eye,761,480118393.0
250,15360,224,shi,767,19568641.0
468,38400,8100,eye,767,333933601.0
70,4100,490,eye,765,412441.0
102,6912,346,dla,767,4852225.0
452,34804,21756,eye,759,978504517.0
224,2880,250,eye,767,2964001.0
194,46500,1078,shi,757,157079473.0
424,31460,14504,shi,763,4466326537.0
512,9600,17010,shi,763,1393728001.0
100,29760,168,shi,765,8870401.0
296,41328,1700,shi,763,380804149.0
362,26112,210,shi,574,47900161.0
188,2048,30780,eye,759,23218001.0
50,29376,116,eye,573,4134241.0
328,40788,3492,eye,763,320514385.0
92,20672,418,eye,575,19823233.0
490,13376,242,eye,767,39211745.0
450,25792,29484,eye,765,637640641.0
190,32208,12600,eye,765,259586209.0
238,9840,1200,eye,762,10340353.0
100,5568,68,eye,765,718081.0
30,17856,27378,eye,765,26315329.0
70,14484,684,shi,765,13648993.0
460,1280,202,shi,286,8144641.0
134,21060,980,eye,572,9547201.0
338,3124,3510,eye,573,28959841.0
242,39424,34020,eye,766,659366401.0
284,1536,37584,dla,759,283545601.0
454,17028,3078,shi,767,484334929.0
360,26880,1944,eye,767,39231361.0
232,8692,882,eye,763,6564673.0
436,336,3250,dla,567,11097073.0
326,21824,186,eye,766,23569921.0
358,4020,4158,eye,575,45322201.0
104,7680,4,shi,575,74881.0
386,35200,25434,shi,757,5894695939.0
84,8960,52,shi,767,757121.0
290,8112,1050,shi,765,47542195.0
30,1872,4250,dla,765,4228849.0
272,6144,21384,eye,763,69905089.0
62,7424,36126,eye,757,58594589.0
482,36800,40986,shi,757,11861565475.0
30,21620,3600,shi,765,40761601.0
260,14596,98,dla,93,186332537.0
220,1188,648,eye,766,1152001.0
298,11088,11200,eye,575,171931201.0
280,30800,5750,eye,765,181041281.0
188,9700,21658,dla,759,628686101.0
90,30900,4194,shi,765,227314801.0
74,12096,172,shi,766,3236353.0
236,4880,7850,shi,759,148504417.0
8,3840,15552,eye,766,1121473.0
224,1792,22,eye,287,608609.0
236,23940,12544,shi,759,1244267521.0
350,8,56,shi,190,172033.0
68,23700,3258,dla,759,89443801.0
500,2548,23324,eye,765,93486401.0
332,32832,100,dla,767,23901697.0
116,4692,6370,shi,567,102046361.0
296,23936,64,shi,574,10948609.0
452,11520,186,eye,743,17641729.0
90,1536,452,shi,381,2147905.0
342,21632,31752,eye,764,521955841.0
428,26112,14256,shi,759,3515746081.0
48,12240,6350,eye,575,22018753.0
402,14160,3800,shi,761,367112833.0
348,23088,4350,eye,767,136696141.0
424,24564,21560,shi,763,3785955361.0
340,3584,466,eye,766,11094529.0
52,10560,7452,dla,543,89232001.0
54,9408,330,eye,766,3326401.0
78,1008,10300,dla,761,13850929.0
138,35264,44,eye,765,4716097.0
330,20468,2286,shi,766,360304081.0
408,3556,3708,shi,767,85000545.0
82,9936,4100,shi,757,62116313.0
100,51968,46,eye,765,4533761.0
458,25092,3654,shi,764,687107905.0
494,612,10388,shi,757,92527189.0
360,10388,5488,shi,767,418951681.0
438,13172,17542,eye,761,400895561.0
140,5236,14700,eye,573,45368401.0
272,9600,200,eye,767,11481601.0
362,46948,17836,eye,766,908107201.0
336,60500,12642,eye,767,612710785.0
28,32660,2268,eye,762,14902273.0
302,15600,9550,shi,757,868690921.0
92,228,14994,dla,759,5165341.0
118,4720,10200,eye,762,19531777.0
194,29232,4050,shi,757,366073345.0
344,768,158,eye,575,1429585.0
158,10368,37422,eye,757,142780177.0
116,10752,21384,shi,759,416876857.0
248,9828,2574,shi,763,103891789.0
362,7696,2600,shi,766,139785361.0
356,25220,12642,shi,759,2621250073.0
234,5264,6800,eye,764,28768897.0
90,5700,2142,eye,765,9746101.0
498,6372,1872,eye,765,37856001.0
52,8112,8550,eye,759,14369473.0
160,52644,3150,eye,765,167148801.0
350,34804,11564,shi,765,2744954941.0
280,26896,9750,eye,765,271351081.0
6,24960,37746,shi,767,108734577.0
166,1040,1800,shi,757,5999905.0
418,15120,3300,eye,766,77527297.0
344,1456,1900,dla,763,25168417.0
406,1664,432,shi,191,19858177.0
510,21808,11150,shi,765,2139852697.0
4,2900,24990,eye,762,904231.0
402,6324,1568,dla,569,124993861.0
66,1600,58,shi,766,835201.0
152,22528,96,shi,766,5677057.0
346,5184,26406,eye,565,147085985.0
80,7920,150,shi,765,1585297.0
160,5952,476,shi,765,8042497.0
72,39984,1400,eye,767,16181761.0
178,7956,10388,eye,757,63509689.0
30,14416,6700,shi,573,85293145.0
160,20580,18228,shi,765,1225278721.0
90,21200,9750,shi,765,372361861.0
500,36500,18424,shi,765,5381387201.0
424,31828,17150,eye,763,699854401.0
26,7168,362,eye,764,1216321.0
484,43316,2160,shi,766,763656961.0
236,22644,792,eye,762,26042369.0
128,12800,30942,shi,763,792255777.0
258,11972,3626,eye,761,39424981.0
464,4416,398,shi,755,14528593.0
352,1092,378,shi,766,3739009.0
290,1188,3978,eye,765,9331505.0
40,1792,476,eye,765,670209.0
290,15252,16660,shi,765,1188879361.0
58,44688,2200,shi,757,100446721.0
304,13824,392,shi,766,28449793.0
14,11972,4116,dla,762,16473473.0
488,39744,38,eye,767,14906945.0
110,28208,3350,eye,766,38833201.0
210,27200,382,eye,765,48003649.0
494,24336,7650,eye,766,364849921.0
368,25600,18954,shi,763,3571882705.0
80,60500,2744,eye,765,31675393.0
198,640,442,eye,766,1527553.0
386,3840,166,eye,767,5697121.0
336,34932,4104,eye,767,342361153.0
424,64,416,shi,767,194689.0
432,44688,7000,eye,767,485452801.0
42,17716,4356,shi,762,63272353.0
174,10944,306,shi,766,12690433.0
348,16896,48,eye,767,6369793.0
152,2800,5050,eye,571,9257257.0
232,192,328,dla,764,299521.0
392,12800,36126,eye,763,453863873.0
304,5460,2592,shi,571,110840833.0
312,26260,20090,shi,767,3260211761.0
200,10692,1332,shi,765,57755521.0
338,17316,5782,eye,765,86675249.0
112,7140,2664,eye,763,12100481.0
288,2516,15778,shi,575,336345745.0
286,48,244,eye,574,76129.0
406,49152,46,dla,575,21725185.0
334,18612,2268,eye,767,98445313.0
428,28116,3924,shi,766,959433697.0
402,29696,2916,shi,761,600327505.0
298,19008,24,eye,575,3369601.0
356,27840,9234,shi,759,1578474097.0
56,35844,2502,eye,763,29406007.0
212,19840,21870,eye,759,167427001.0
116,4900,3920,shi,759,45509121.0
480,40,406,eye,11,8444801.0
496,6144,98,shi,767,6849025.0
360,12544,360,shi,767,31449601.0
360,17328,9850,eye,767,227700481.0
82,24964,54,shi,757,2137987.0
12,6724,17738,dla,767,23762617.0
468,6308,1062,shi,767,56839303.0
456,1472,140,eye,767,1659841.0
460,42164,1476,shi,765,519291241.0
46,14964,2412,eye,767,10165777.0
92,24080,8300,eye,759,64783825.0
426,21712,800,shi,761,125587073.0
148,3648,62,eye,765,736561.0
226,39600,8050,shi,757,1315135585.0
58,4756,17150,eye,565,18087301.0
398,25024,52,shi,765,12629761.0
340,50820,12642,eye,765,602987281.0
74,4096,30780,eye,565,34376701.0
8,48384,17982,eye,767,14407801.0
374,13104,2250,eye,766,43072561.0
50,4180,630,eye,765,764401.0
264,15552,460,eye,767,56833921.0
142,7680,9558,eye,757,21849825.0
192,13824,256,shi,767,11501569.0
128,9860,22246,shi,763,495659041.0
190,22644,3042,eye,765,79478673.0
106,22932,15484,shi,757,769269137.0
206,19024,7600,shi,757,547083265.0
328,6020,450,eye,763,7183201.0
322,740,7938,eye,570,10253953.0
172,24804,3332,eye,759,36865793.0
182,26288,8850,eye,762,161990401.0
402,30820,1386,eye,761,102148201.0
196,1700,24206,eye,690,28549249.0
44,6084,2322,shi,766,15991873.0
80,22272,16848,eye,573,70174209.0
54,20416,32886,dla,764,625954561.0
496,13764,13622,shi,763,1500514453.0
238,20160,166,shi,767,14501761.0
362,54612,666,eye,766,72283201.0
240,7680,304,shi,575,12646401.0
406,2560,212,shi,767,4497793.0
104,19712,27702,shi,763,1014292657.0
296,7956,22344,shi,763,1548208465.0
400,8064,4050,eye,765,34062001.0
490,56628,23324,shi,765,10700491425.0
414,50500,7938,shi,764,3287405089.0
468,13200,5150,eye,575,145094041.0
170,16740,21854,eye,765,145187719.0
442,30212,4176,eye,767,314380417.0
82,3600,6000,shi,757,35581441.0
16,49152,392,eye,763,5419009.0
370,5332,4428,shi,765,203921209.0
498,22528,24624,shi,761,4710032209.0
352,43844,21560,shi,766,6862423041.0
282,22420,234,eye,761,8065201.0
198,58420,1584,shi,730,319727233.0
52,6596,5488,eye,567,8031297.0
410,4836,25088,eye,765,123684865.0
204,19044,3626,eye,767,44457721.0
446,21060,24892,shi,565,5403646801.0
446,4864,94,eye,766,4439809.0
336,12180,18,eye,767,708065.0
70,16068,90,dla,381,10235317.0
148,4160,5346,shi,759,63321061.0
206,33456,3550,eye,764,97431313.0
484,38704,3200,shi,766,1016756225.0
444,3108,5488,eye,575,29289793.0
224,24960,34992,eye,763,439617025.0
30,16560,1800,eye,765,3090313.0
266,35328,6480,shi,762,951662881.0
268,6400,13122,eye,759,52913251.0
406,21840,7700,eye,762,301830145.0
286,23572,1206,shi,766,147435913.0
376,17280,6,eye,767,718849.0
30,34036,3708,shi,765,59847121.0
58,7168,488,eye,767,3552641.0
316,3604,13818,eye,759,43887661.0
8,8816,4400,eye,764,1132033.0
182,17220,1274,eye,762,11162113.0
336,5236,252,dla,383,15980273.0
214,6992,3050,dla,760,75765313.0
6,13312,39366,dla,765,51863553.0
452,36480,37098,shi,759,12077365195.0
486,31540,3042,eye,764,287359489.0
442,2916,16072,eye,707,64332937.0
228,14484,1548,shi,767,100549825.0
78,21504,268,shi,765,9056257.0
98,2500,16366,dla,762,72240001.0
110,15300,19110,dla,766,578340001.0
312,29680,11950,shi,767,2089295937.0
368,35280,1500,eye,763,84878281.0
146,12500,1274,shi,757,46569329.0
90,24644,5292,eye,765,34362145.0
506,29380,16954,shi,766,4462146097.0
136,16592,6850,shi,763,253656049.0
444,14820,180,eye,767,6291481.0
164,4212,954,shi,759,17053705.0
136,5776,8000,shi,571,165550081.0
470,53824,22356,shi,765,9752142049.0
376,14288,9550,shi,571,1351505305.0
36,23040,29970,eye,767,47521321.0
374,768,134,shi,190,2624257.0
52,16640,5994,shi,759,99774793.0
344,10240,5994,dla,571,571535361.0
352,10752,290,shi,682,21381121.0
192,7412,12838,eye,767,49381761.0
238,9540,13622,eye,762,84538689.0
344,10944,12636,eye,763,148018729.0
124,5040,6550,shi,759,113935417.0
84,2244,4140,shi,719,15352961.0
466,192,238,eye,767,361999.0
474,6420,3744,shi,761,214273281.0
390,7216,5150,shi,765,265338919.0
294,11220,4158,eye,762,84446209.0
154,49268,9604,shi,766,1290053185.0
322,11408,10800,dla,762,646514177.0
66,13824,5832,eye,766,9248257.0
270,5092,468,shi,573,14459797.0
470,45012,19208,eye,765,949849321.0
440,27776,7614,eye,766,187819521.0
76,52884,12642,eye,759,127471609.0
80,22644,1674,eye,765,18415489.0
206,38804,17346,shi,757,2547964561.0
264,10752,40,shi,767,2196481.0
410,9380,2772,shi,765,239578417.0
512,24820,2940,shi,763,659554561.0
240,43524,3430,eye,767,84109201.0
334,23540,1746,eye,767,87629025.0
376,38416,9950,eye,763,601584961.0
236,42480,6600,eye,759,226537345.0
380,22320,5750,eye,765,164530501.0
130,25620,17150,shi,717,1088323601.0
266,1920,506,eye,765,4809025.0
214,9856,31104,eye,757,133946881.0
214,51840,106,eye,767,23811841.0
108,320,6804,dla,575,5604481.0
32,5264,4600,shi,763,12378049.0
18,18096,2400,eye,764,3124225.0
334,7476,10682,dla,760,492877729.0
94,45360,2200,eye,760,32232817.0
106,7600,8000,eye,757,27678721.0
228,9216,426,eye,767,26936833.0
